objName,objAltName1,objAltName2,objAltName3,NED_name,NED_redshift,raMean,decMean,TransientName,TransientRA,TransientDEC
PSO J182425.366+440749.965,,,,WISEA J182425.22+440750.1,,276.10566907,44.13054795,SN2018btk,276.10795833333333,44.13043611111111
PSO J084349.206+440803.790,,,,SDSS J084349.19+440803.7,,130.95502011,44.13436998,PSc120553,130.95468749999998,44.13420277777778
PSO J115550.386+440806.873,,,,WISEA J115550.39+440806.8,0.073223,178.95996725,44.13526846,SN2019wej,178.95887499999995,44.13876111111111
PSO J133156.052+440825.764,,,,MCG +07-28-026,0.033569,202.98352873,44.14049944,SN2018inf,202.98374166666667,44.13935833333333
PSO J083638.127+440916.885,,,,WISEA J083638.18+440916.4,,129.15886391,44.15468949,PSc360125,129.1587458333333,44.1548861111111
PSO J150103.727+440923.598,,,,WISEA J150103.67+440923.4,,225.26552021,44.15652794,SN2018fpe,225.26520416666665,44.1565388888889
PSO J113021.517+440952.576,,,,CGCG 214-011 NED02,0.02439,172.5896466,44.16459541,SN2009dm,172.5839208333333,44.16366944444447
PSO J213833.616+440932.869,,,,WISEA J213833.63+440932.7,0.038974,324.6400868,44.15912428,SN2019nud,324.64008333333334,44.15905833333333
PSO J180943.724+441050.325,,,,WISEA J180943.57+441048.3,,272.43217727,44.18063743,SN2019gcg,272.4334416666666,44.181055555555545
PSO J084412.227+441117.597,,,,WISEA J084412.19+441116.2,,131.05093482,44.18820515,PSc350131,131.05061666666666,44.188402777777775
PSO J084930.204+441334.438,,,,WISEA J084930.12+441334.4,,132.37585588,44.22624752,PSc450311,132.37650833333333,44.22662222222223
PSO J084420.756+441420.146,,,,WISEA J084420.81+441420.3,,131.08646925,44.23890842,PSc350181,131.08629999999997,44.23903055555557
PSO J084030.365+441433.606,,,,WISEA J084030.33+441433.5,,130.12651811,44.24266116,PSc580319,130.12601249999997,44.24255833333334
PSO J084520.832+441430.116,,,,WISEA J084520.81+441429.7,0.5010760000000001,131.33681703,44.24169187,PS1-12cb,131.33636249999998,44.23904722222223
PSO J063702.419+441527.958,,,,WISEA J063702.37+441528.0,,99.2600661,44.257765,SN2016alt,99.25810833333333,44.256669444444455
PSO J084734.206+441501.470,,,,WISEA J084734.19+441501.0,,131.89254361,44.25039524,PSc480189,131.89219999999997,44.25084444444445
PSO J003241.399+441607.129,,,,WISEA J003241.39+441607.0,,8.17248552,44.26863537,SN2019rqn,8.172883333333333,44.26878055555554
PSO J084703.801+441652.478,,,,WISEA J084703.79+441652.4,,131.76585083,44.2812444,PSc110464,131.76588749999996,44.28116388888889
PSO J084201.107+441845.612,,,,WISEA J084201.12+441845.3,,130.50460604,44.31262664,PSc370034,130.50652499999995,44.31131944444444
PSO J140114.775+441829.503,,,,WISEA J140114.78+441829.3,0.058647,210.31158057,44.30820511,Gaia15adt,210.31233333333333,44.308277777777775
PSO J084020.609+441906.556,,,,WISEA J084020.59+441906.4,,130.08586796,44.3184864,PSc480065,130.0856958333333,44.31848888888889
PSO J084130.565+441902.603,,,,WISEA J084130.57+441902.6,,130.37734569,44.31738828,PSc500091,130.37757916666664,44.31767222222222
PSO J084642.008+441859.071,,,,WISEA J084641.97+441859.3,,131.67504708,44.31639696,PSc360123,131.67429583333333,44.31606666666666
PSO J110216.813+442006.529,,,,WISEA J110216.79+442006.1,0.024604,165.57006409,44.33515489,SN2019smv,165.56945416666662,44.33466111111111
PSO J112610.340+442041.800,,,,WISEA J112610.33+442041.7,0.09364,171.54308488,44.34493468,SN2016bfy,171.54321249999995,44.3448
