Unnamed: 0,ra,dec,candidate_id,flux,fluxerr,magzp,filter,meanmjd,rb,rbcut,model,objectdata_id_1,tag,num_rb_obs
226494,149.87277589479,3.18375502996458,DC21fyx,7142.18698821631,185.364670205472,28.9887264889318,g,59301.1418596822,1.0,0.3,rknop_20211105_19.h5,111925,default,185
226507,149.87277589479,3.18375502996458,DC21fyx,2119.83109350385,148.0596673312,28.4698946905481,r,59301.1433901411,0.961188,0.3,rknop_20211105_19.h5,112423,default,185
226513,149.87277589479,3.18375502996458,DC21fyx,4585.74455127658,132.054617513879,28.3765888382817,i,59301.1447593011,1.0,0.3,rknop_20211105_19.h5,112895,default,185
226584,149.87277589479,3.18375502996458,DC21fyx,5475.29317939646,134.27720283703,28.363745648458,i,59301.1321756911,1.0,0.3,rknop_20211105_19.h5,107024,default,185
226655,149.87277589479,3.18375502996458,DC21fyx,6776.76129701181,135.927150553936,28.9394185357778,g,59304.0325201622,1.0,0.3,rknop_20211105_19.h5,116050,default,185
226675,149.87277589479,3.18375502996458,DC21fyx,7061.35497995548,179.322979601291,28.9867023239395,g,59301.1286274622,1.0,0.3,rknop_20211105_19.h5,109214,default,185
226747,149.87277589479,3.18375502996458,DC21fyx,7310.64035598296,113.864085610299,28.9993491932705,g,59304.0881930122,1.0,0.3,rknop_20211105_19.h5,120062,default,185
226772,149.87277589479,3.18375502996458,DC21fyx,2482.39720712871,136.080153593073,28.4295523694857,r,59301.1427213511,1.0,0.3,rknop_20211105_19.h5,112221,default,185
226797,149.87277589479,3.18375502996458,DC21fyx,5707.09783790377,135.222366040579,28.3711547183132,i,59301.1440789911,1.0,0.3,rknop_20211105_19.h5,112624,default,185
226810,149.87277589479,3.18375502996458,DC21fyx,5294.12804751905,130.718623092687,28.3549796496745,i,59301.1454416611,1.0,0.3,rknop_20211105_19.h5,113093,default,185
227093,149.87277589479,3.18375502996458,DC21fyx,6417.306038411,116.939249221855,28.9939478805746,g,59304.1008295122,0.886482,0.3,rknop_20211105_19.h5,124362,default,185
227122,149.87277589479,3.18375502996458,DC21fyx,6846.82549495926,107.82831356904,28.9741478849157,g,59304.1470462322,1.0,0.3,rknop_20211105_19.h5,133527,default,185
227194,149.87277589479,3.18375502996458,DC21fyx,7821.65713621405,124.511267836174,29.0055664480455,g,59304.1344313322,1.0,0.3,rknop_20211105_19.h5,128132,default,185
233637,149.87277589479,3.18375502996458,DC21fyx,4889.50348682975,140.583893657608,28.991863575423,g,59328.9997030422,1.0,0.3,rknop_20211105_19.h5,289006,default,185
233645,149.87277589479,3.18375502996458,DC21fyx,5269.2628082734,115.691809554723,28.9548945484006,g,59329.0572200122,1.0,0.3,rknop_20211105_19.h5,297981,default,185
233692,149.87277589479,3.18375502996458,DC21fyx,17269.1301729717,223.858841022182,29.9917121170079,i,59329.0025041548,0.998994,0.3,rknop_20211105_19.h5,290808,default,185
233747,149.87277589479,3.18375502996458,DC21fyx,16067.6112555601,209.520371675853,29.9354996793343,i,59329.1276743948,0.895998,0.3,rknop_20211105_19.h5,302142,default,185
233764,149.87277589479,3.18375502996458,DC21fyx,4134.12459069068,122.734937524588,28.9987892145519,g,59329.0445280522,1.0,0.3,rknop_20211105_19.h5,293807,default,185
233892,149.87277589479,3.18375502996458,DC21fyx,15819.563093785,201.920040197869,29.9828975118764,i,59329.0600037348,0.680607,0.3,rknop_20211105_19.h5,298979,default,185
233947,149.87277589479,3.18375502996458,DC21fyx,4307.4785034488,157.210918706149,29.5011846422379,r,59329.1260847352,0.233049,0.3,rknop_20211105_19.h5,301604,default,185
234077,149.87277589479,3.18375502996458,DC21fyx,16231.7411905346,226.596299344703,29.9320161540952,i,59329.1403188548,0.980558,0.3,rknop_20211105_19.h5,306387,default,185
234136,149.87277589479,3.18375502996458,DC21fyx,5973.91392047931,163.716527480772,29.0362031515801,g,59331.0102477022,1.0,0.3,rknop_20211105_19.h5,309285,default,185
234234,149.87277589479,3.18375502996458,DC21fyx,5520.77843651717,181.775982678113,29.0276442352748,g,59331.0443889222,1.0,0.3,rknop_20211105_19.h5,313778,default,185
234246,149.87277589479,3.18375502996458,DC21fyx,17134.5041436943,253.185240116078,29.9909906522909,i,59331.0471560848,1.0,0.3,rknop_20211105_19.h5,314724,default,185
234273,149.87277589479,3.18375502996458,DC21fyx,3997.10699568712,241.998242788978,29.5759054063591,r,59331.1264600252,0.991859,0.3,rknop_20211105_19.h5,324938,default,185
234305,149.87277589479,3.18375502996458,DC21fyx,4405.5890598057,203.276149555025,29.5790718641184,r,59331.0581335752,1.0,0.3,rknop_20211105_19.h5,317661,default,185
